unidade;ano;mes;media_permanencia
HAC;2023;3;6,818791946308725
HAC;2023;4;7,655038759689923
HAC;2023;5;7,577358490566038
HAC;2023;6;7,169675090252707
HAC;2023;7;7,804428044280443
HAC;2023;8;7,7272727272727275
HAC;2023;9;6,96113074204947
HAC;2023;10;7,651079136690647
HAC;2023;11;8,27659574468085
HAC;2023;12;7,818867924528302
HAC;2024;1;7,587786259541985
HAC;2024;2;6,580756013745704
HAC;2024;3;6,899022801302932
HAC;2024;4;6,302752293577981
HAC;2024;5;7,209003215434084
HAC;2024;6;7,525
HAC;2024;7;7,439862542955327
HAC;2024;8;6,450617283950617
HAC;2024;9;7,402730375426621
HAC;2024;10;6,978461538461539
HAC;2024;11;6,8969696969696965
HAC;2024;12;7,315254237288135
HAC;2025;1;6,977987421383648
HAC;2025;2;7,618181818181818
HAC;2025;3;7,464396284829721
HAC;2025;4;7,23404255319149
HAC;2025;5;7,265243902439025
HAC;2025;6;7,6568627450980395
HAC;2025;7;7,512269938650307
HAC;2025;8;7,762057877813505
HAC;2025;9;7,712903225806452
HAC;2025;10;7,262536873156342
HAC;2025;11;7,690789473684211
HAC;2025;12;7,888888888888889
HCM;2022;1;277,25
HCM;2022;2;232,75
HCM;2022;3;149,28571428571428
HCM;2022;4;257,0
HCM;2022;5;147,42857142857142
HCM;2022;6;239,75
HCM;2022;7;251,25
HCM;2022;8;344,6666666666667
HCM;2022;9;171,83333333333334
HCM;2022;10;223,0
HCM;2022;11;1095,0
HCM;2022;12;219,6
HCM;2023;1;282,0
HCM;2023;2;970,0
HCM;2023;3;1106,0
HCM;2023;4;535,5
HCM;2023;5;273,0
HCM;2023;6;217,4
HCM;2023;7;577,5
HCM;2023;8;233,0
HCM;2023;9;259,0
HCM;2023;10;273,0
HCM;2023;11;133,625
HCM;2023;12;250,75
HCM;2024;1;314,0
HCM;2024;2;138,71428571428572
HCM;2024;3;45,130434782608695
HCM;2024;4;19,82456140350877
HCM;2024;5;38,93333333333333
HCM;2024;6;88,84615384615384
HCM;2024;7;82,64285714285714
HCM;2024;8;372,0
HCM;2024;9;193,2
HCM;2024;10;506,5
HCM;2024;11;209,0
HCM;2024;12;100,9
HCM;2025;1;252,5
HCM;2025;2;95,2
HCM;2025;3;150,42857142857142
HCM;2025;4;106,7
HCM;2025;5;206,16666666666666
HCM;2025;6;180,85714285714286
HCM;2025;7;113,66666666666667
